transaction_id,data,valor,hora,categoria,categoria_cod,qtd_transacoes_24h,is_fraud
TXN_OUT_000000,2025-10,3175.3888888491947,2,eletronicos,7,15,1
TXN_OUT_000001,2025-10,29.75036272606863,14,farmacia,2,2,0
TXN_OUT_000002,2025-10,260.2832771755257,22,assinatura,9,2,0
TXN_OUT_000003,2025-10,418.43613345924734,18,restaurante,5,4,0
TXN_OUT_000004,2025-10,510.1811927536682,22,livros,8,1,0
TXN_OUT_000005,2025-10,191.60173148216523,22,livros,8,3,0
TXN_OUT_000006,2025-10,699.2763542002756,14,vestuario,4,3,0
TXN_OUT_000007,2025-10,921.7581789549178,14,lazer,6,6,0
TXN_OUT_000008,2025-10,78.61964820006544,16,alimentacao,1,1,0
TXN_OUT_000009,2025-10,483.1364933074015,22,assinatura,9,1,0
TXN_OUT_000010,2025-10,45.734289189076264,16,transporte,3,1,0
TXN_OUT_000011,2025-10,225.82172990185643,22,livros,8,1,0
TXN_OUT_000012,2025-10,180.4906241971982,17,restaurante,5,2,0
TXN_OUT_000013,2025-10,55.83854064755932,16,transporte,3,3,0
TXN_OUT_000014,2025-10,179.25620190237524,9,alimentacao,1,3,0
TXN_OUT_000015,2025-10,18.801759437107755,14,alimentacao,1,1,0
TXN_OUT_000016,2025-10,100.0,21,lazer,6,5,0
TXN_OUT_000017,2025-10,121.19673945653658,12,farmacia,2,2,0
TXN_OUT_000018,2025-10,1434.5662549970418,18,vestuario,4,2,0
TXN_OUT_000019,2025-10,4608.27443500177,0,joias,11,12,1
TXN_OUT_000020,2025-10,34.64168132126144,15,transporte,3,1,0
TXN_OUT_000021,2025-10,800.0921608623324,16,lazer,6,2,0
TXN_OUT_000022,2025-10,2500.0,22,eletronicos,7,13,1
TXN_OUT_000023,2025-10,100.0,18,vestuario,4,1,0
TXN_OUT_000024,2025-10,2181.617202629728,18,viagem,12,20,1
TXN_OUT_000025,2025-10,145.1638952601131,14,alimentacao,1,2,0
TXN_OUT_000026,2025-10,796.0516982053305,18,vestuario,4,4,0
TXN_OUT_000027,2025-10,100.0,19,restaurante,5,2,0
TXN_OUT_000028,2025-10,493.7816082357708,14,restaurante,5,2,0
TXN_OUT_000029,2025-10,171.88996502597246,13,transporte,3,2,0
TXN_OUT_000030,2025-10,157.5799612420665,11,alimentacao,1,3,0
TXN_OUT_000031,2025-10,703.0624499239201,14,vestuario,4,4,0
TXN_OUT_000032,2025-10,126.02685239009124,14,farmacia,2,1,0
TXN_OUT_000033,2025-10,166.48024249480093,16,lazer,6,3,0
TXN_OUT_000034,2025-10,115.29895841729558,18,lazer,6,1,0
TXN_OUT_000035,2025-10,114.25501141280002,15,transporte,3,3,0
TXN_OUT_000036,2025-10,179.4662327383885,21,livros,8,1,0
TXN_OUT_000037,2025-10,160.01060387681508,22,livros,8,2,0
TXN_OUT_000038,2025-10,198.22476455917314,16,lazer,6,5,0
TXN_OUT_000039,2025-10,22.222195915717627,16,farmacia,2,4,0
TXN_OUT_000040,2025-10,174.61632817617766,9,alimentacao,1,3,0
